ID_API,Nom,Nationalité,Âge,Ligue,Club,Buts,Passes Dé,Ailier droit,Ailier gauche,Arrière droit,Arrière gauche,Attaquant de soutien,Avant-centre,Buteur,Défenseur central,Gardien,Milieu central,Milieu droit,Milieu défensif,Milieu gauche,Milieu offensif,Piston droit,Piston gauche
562727,David Raya,Spain,30,Premier League,Arsenal,0,0,,,,,,,,,Oui,,,,,,,
317564,Kepa Arrizabalaga,Spain,31,Premier League,Arsenal,0,0,,,,,,,,,Oui,,,,,,,
955406,William Saliba,France,24,Premier League,Arsenal,0,0,,,,,,,,Oui,,,,,,,,
1298907,Cristhian Mosquera,Spain,21,Premier League,Arsenal,0,0,,,Oui,,,,,Oui,,,,,,,,
776151,Ben White,England,28,Premier League,Arsenal,0,1,,,Oui,,,,,,,,,,,,,
1137667,Piero Hincapié,Ecuador,24,Premier League,Arsenal,0,0,,,,Oui,,,,Oui,,,,,Oui,,,
795179,Gabriel,Brazil,28,Premier League,Arsenal,3,2,,,,,,,,Oui,,,,,,,,
942381,Jurrien Timber,Netherlands,24,Premier League,Arsenal,2,3,,,Oui,Oui,,,,Oui,,,,,,,,
1105912,Riccardo Calafiori,Italy,23,Premier League,Arsenal,1,2,,,,Oui,,,,Oui,,,,,,,,
1406436,Myles Lewis-Skelly,England,19,Premier League,Arsenal,0,0,,,,Oui,,,,,,,,,,,,
534670,Martin Ødegaard,Norway,27,Premier League,Arsenal,1,3,Oui,,,,,,,,,Oui,Oui,,,,,
818975,Eberechi Eze,England,27,Premier League,Arsenal,4,2,,Oui,,,,,Oui,,,Oui,,,,Oui,,
266520,Christian Nørgaard,Denmark,31,Premier League,Arsenal,0,0,,,,,,,,Oui,,Oui,,Oui,,,,
574645,Mikel Merino,Spain,29,Premier League,Arsenal,3,3,,,,,,,Oui,,,Oui,,Oui,,Oui,,
1031325,Martin Zubimendi,Spain,26,Premier League,Arsenal,3,1,,,,,,,,,,Oui,,Oui,,,,
654096,Declan Rice,England,27,Premier League,Arsenal,4,3,,,Oui,,,,,,,Oui,,Oui,,,,
1635773,Max Dowman,England,16,Premier League,Arsenal U18,0,0,Oui,,,,,,,,,Oui,,,,Oui,,
961995,Bukayo Saka,England,24,Premier League,Arsenal,4,3,Oui,,,,,,,,,,Oui,,,,,
576165,Gabriel Jesus,Brazil,28,Premier League,Arsenal,1,0,,,,,,,Oui,,,,,,,,,
1021586,Gabriel Martinelli,Brazil,24,Premier League,Arsenal,1,0,Oui,Oui,,,,,Oui,,,,,,,,,
664500,Viktor Gyökeres,Sweden,27,Premier League,Arsenal,5,0,,Oui,,,,,Oui,,,,,,,,,
318615,Leandro Trossard,Belgium,31,Premier League,Arsenal,5,4,Oui,Oui,,,,,Oui,,,,,,,,,
1084981,Noni Madueke,England,23,Premier League,Arsenal,0,0,Oui,Oui,,,,,,,,,,,,,,
1254234,Ethan Nwaneri,England,18,Premier League,Arsenal,0,0,Oui,Oui,,,,,,,,Oui,,,,Oui,,
749736,Kai Havertz,Germany,26,Premier League,Arsenal,0,0,,,,,,,Oui,,,,,,,,,
1187213,James Trafford,England,23,Premier League,Manchester City,0,0,,,,,,,,,Oui,,,,,,,
276729,Stefan Ortega,Germany,33,Premier League,Manchester City,0,0,,,,,,,,,Oui,,,,,,,
618878,Gianluigi Donnarumma,Italy,26,Premier League,Manchester City,0,0,,,,,,,,,Oui,,,,,,,
614006,Ruben Dias,Portugal,28,Premier League,Manchester City,2,0,,,,,,,,Oui,,,,,,,,
263653,John Stones,England,31,Premier League,Manchester City,0,0,,,Oui,,,,,Oui,,,,Oui,,,,
417068,Nathan Aké,Netherlands,30,Premier League,Manchester City,0,0,,,,Oui,,,,Oui,,,,,,,,
1070712,Josko Gvardiol,Croatia,23,Premier League,Manchester City,2,2,,,,Oui,,,,Oui,,,,,,,,
955529,Matheus Nunes,Portugal,27,Premier League,Manchester City,1,3,Oui,,Oui,,,,,,,,,,,,,
1300526,Nico O'Reilly,England,20,Premier League,Manchester City,1,3,,,,Oui,,,,,,,,Oui,,,,
1362998,Abdukodir Khusanov,Uzbekistan,21,Premier League,Manchester City,0,0,,,Oui,,,,,Oui,,,,,,,Oui,
1288450,Rico Lewis,England,21,Premier League,Manchester City,0,1,Oui,,Oui,Oui,,,,,,Oui,,Oui,,Oui,,
868344,Tijjani Reijnders,Netherlands,27,Premier League,Manchester City,5,2,,,,,,,,,,Oui,,Oui,,Oui,,
239219,Mateo Kovacic,Croatia,31,Premier League,Manchester City,0,0,,,,,,,,Oui,,Oui,,Oui,,,,
1280132,Nico González,Spain,24,Premier League,Manchester City,1,0,,,,,,,Oui,,,Oui,,Oui,,Oui,,
675088,Rodri,Spain,29,Premier League,Manchester City,0,0,,,,,,,,,,,,Oui,,,,
488139,Bernardo Silva,Portugal,31,Premier League,Manchester City,0,2,Oui,Oui,,,,,,,,Oui,,Oui,Oui,Oui,,
933845,Rayan Aït-Nouri,Algeria,24,Premier League,Manchester City,0,0,,Oui,Oui,Oui,,,,,,,,,Oui,,,Oui
609755,Kalvin Phillips,England,30,Premier League,Manchester City,0,0,,,,,,,,,,,,Oui,,,,
815006,Phil Foden,England,25,Premier League,Manchester City,7,2,Oui,Oui,,,,,Oui,,,,Oui,Oui,,Oui,,
1463282,Divine Mukasa,England,18,Premier League 2,Manchester City U21,1,0,,,,,,,Oui,,,Oui,,Oui,,Oui,,
839204,Omar Marmoush,Egypt,26,Premier League,Manchester City,0,1,Oui,Oui,,,,,Oui,,,,,,,Oui,,
737066,Erling Haaland,Norway,25,Premier League,Manchester City,20,4,,,,,,,Oui,,,,,,,,,
1104053,Rayan Cherki,France,22,Premier League,Manchester City,2,7,Oui,Oui,,,,,Oui,,,Oui,,,,Oui,,
942368,Jérémy Doku,Belgium,23,Premier League,Manchester City,1,4,Oui,Oui,,,,,,,,,,,,Oui,,
1174337,Savinho,Brazil,21,Premier League,Manchester City,0,1,Oui,Oui,,,,,Oui,,,,,,,,,
1113790,Oscar Bobb,Norway,22,Premier League,Manchester City,0,1,Oui,,,,,,,,,Oui,Oui,,,Oui,,
319784,Alisson Becker,Brazil,33,Premier League,Liverpool,0,0,,,,,,,,,Oui,,,,,,,
948800,Giorgi Mamardashvili,Georgia,25,Premier League,Liverpool,0,0,,,,,,,,,Oui,,,,,,,
582276,Freddie Woodman,England,28,Championship,Liverpool,0,0,,,,,,,,,Oui,,,,,,,
1366340,Ármin Pécsi,Hungary,20,Premier League 2,Liverpool U21,0,0,,,,,,,,,Oui,,,,,,,
568571,Joseph Gomez,England,28,Premier League,Liverpool,0,2,,,Oui,,,,,Oui,,,,,,,,
209405,Virgil van Dijk,Netherlands,34,Premier League,Liverpool,0,0,,,,,,,,Oui,,,,,,,,
820140,Ibrahima Konaté,France,26,Premier League,Liverpool,0,0,,,,,,,,Oui,,,,,,,,
1195281,Milos Kerkez,Hungary,22,Premier League,Liverpool,1,0,,,,Oui,,,,,,,,,,,,Oui
1113690,Conor Bradley,Northern Ireland,22,Premier League,Liverpool,0,1,,,Oui,,,,,,,,Oui,Oui,,,Oui,
1609209,Giovanni Leoni,Italy,19,Serie A,Liverpool,1,0,,,Oui,,,,,Oui,,,,,,,,
357880,Andrew Robertson,Scotland,31,Premier League,Liverpool,0,0,,,,Oui,,,,Oui,,,,,,,,Oui
1081076,Rhys Williams,England,24,Premier League 2,Liverpool U21,0,0,,,,,,,,Oui,,,,,,,,
1076952,Calvin Ramsay,Scotland,22,Premier League 2,Liverpool U21,1,0,,,Oui,,,,,,,,Oui,,,,Oui,
202643,Wataru Endo,Japan,32,Premier League,Liverpool,0,1,,,,,,,,Oui,,Oui,,Oui,,,,
1152455,Florian Wirtz,Germany,22,Premier League,Liverpool,3,1,Oui,Oui,,,,,Oui,,,,Oui,,,Oui,,
846005,Dominik Szoboszlai,Hungary,25,Premier League,Liverpool,2,1,Oui,Oui,Oui,,,,,,,Oui,Oui,Oui,,Oui,,
831489,Alexis Mac Allister,Argentina,27,Premier League,Liverpool,0,2,,,,,,,,,,Oui,,Oui,Oui,Oui,,
933768,Curtis Jones,England,24,Premier League,Liverpool,0,1,,Oui,Oui,,,,,,,Oui,,Oui,Oui,Oui,,
966018,Jeremie Frimpong,Netherlands,25,Premier League,Liverpool,0,1,Oui,,Oui,,,,,,,,Oui,,,,Oui,
956683,Ryan Gravenberch,Netherlands,23,Premier League,Liverpool,4,2,,,,,,,,Oui,,Oui,,Oui,,,,
1436258,Trey Nyoni,England,18,Premier League 2,Liverpool U21,0,0,,,,,,,,Oui,,Oui,,Oui,,Oui,,
1310118,Stefan Bajcetic,Spain,21,LaLiga,Liverpool,1,0,,,,,,,,Oui,,Oui,,Oui,,,,
690107,Alexander Isak,Sweden,26,Premier League,Liverpool,2,1,,,,,,,Oui,,,,,,,,,
292462,Mohamed Salah,Egypt,33,Premier League,Liverpool,4,3,Oui,,,,,,Oui,,,,,,,Oui,,
784510,Federico Chiesa,Italy,28,Premier League,Liverpool,2,1,Oui,,,,,,Oui,,,,,,,,,
806552,Cody Gakpo,Netherlands,26,Premier League,Liverpool,5,3,,Oui,,,,,Oui,,,,,,Oui,,,
1197030,Hugo Ekitike,France,23,Premier League,Liverpool,8,2,,Oui,,,,,Oui,,,,,,,,,
1597668,Rio Ngumoha,England,17,Premier League,Liverpool,1,0,,Oui,,,,,,,,,,,Oui,,,
789571,Robert Sánchez,Spain,28,Premier League,Chelsea,0,0,,,,,,,,,Oui,,,,,,,
1200984,Filip Jörgensen,Denmark,23,Premier League,Chelsea,0,0,,,,,,,,,Oui,,,,,,,
1031220,Gaga Slonina,USA,21,EFL Trophy Southern Grp. C,Chelsea U21,0,0,,,,,,,,,Oui,,,,,,,
696646,Axel Disasi,France,27,Premier League 2,Chelsea U21,0,0,,,Oui,,,,,Oui,,,,,,,,
873289,Marc Cucurella,Spain,27,Premier League,Chelsea,0,2,,,,Oui,,,,,,,,Oui,,,,
683402,Tosin Adarabioyo,England,28,Premier League,Chelsea,0,0,,,,,,,,Oui,,,,,,,,
955376,Benoit Badiashile,France,24,Premier League,Chelsea,0,0,,,,,,,,Oui,,,,,,,,
1096400,Levi Colwill,England,22,Premier League,Chelsea,2,1,,,,,,,,Oui,,,,,,,,
1413846,Jorrel Hato,Netherlands,19,Premier League,Chelsea,0,0,,,,Oui,,,,Oui,,,,,,,,
793907,Trevoh Chalobah,England,26,Premier League,Chelsea,3,0,,,Oui,,,,,Oui,,,,,,,,
807729,Reece James,England,26,Premier League,Chelsea,2,4,,,Oui,Oui,,,,Oui,,Oui,,Oui,,,,
1197250,Malo Gusto,France,22,Premier League,Chelsea,2,2,,,Oui,Oui,,,,,,,,Oui,,,,
917802,Wesley Fofana,France,25,Premier League,Chelsea,0,0,,,Oui,,,,,Oui,,,,,,,,
1400216,Josh Acheampong,England,19,Premier League,Chelsea,1,0,,,Oui,Oui,,,,Oui,,,,,,,,
1137705,Enzo Fernández,Argentina,25,Premier League,Chelsea,6,2,,,,,,,,,,Oui,,Oui,,Oui,,
1096353,Cole Palmer,England,23,Premier League,Chelsea,4,0,Oui,Oui,,,,,,,,,,,,Oui,,
1239595,Dario Essugo,Portugal,20,LaLiga,Chelsea,1,0,,,,,,,,,,Oui,,Oui,,,,
1372921,Andrey Santos,Brazil,21,Premier League,Chelsea,0,0,,,,,,,,,,Oui,,Oui,,Oui,,
1137668,Moisés Caicedo,Ecuador,24,Premier League,Chelsea,3,1,,,Oui,,,,,,,Oui,,Oui,,,,
1336566,Facundo Buonanotte,Argentina,21,Premier League,Leeds United,0,0,Oui,,,,,,,,,,,,,Oui,,
1190867,Romeo Lavia,Belgium,22,Premier League,Chelsea,0,0,,,,,,,,,,,,Oui,,,,
1203665,Alejandro Garnacho,Argentina,21,Premier League,Chelsea,1,3,Oui,Oui,,,,,,,,,,,,Oui,,
976506,Mykhaylo Mudryk,Ukraine,25,Premier League,Chelsea,0,0,,Oui,,,,,,,,,,,,,,
246575,Raheem Sterling,England,31,Premier League,Chelsea,0,2,Oui,Oui,,,,,,,,,,,,,,
843040,Pedro Neto,Portugal,25,Premier League,Chelsea,5,3,Oui,Oui,,,,,Oui,,,,,,,,,
1113903,Liam Delap,England,22,Premier League,Chelsea,1,0,,,,,,,Oui,,,,,,,,,
1113692,Jamie Gittens,England,21,Premier League,Chelsea,0,2,Oui,Oui,,,,,,,,,Oui,,Oui,Oui,,
1021382,Joao Pedro,Brazil,24,Premier League,Chelsea,7,3,,Oui,,,,,Oui,,,,,,,Oui,,
1424875,Tyrique George,England,19,Premier League,Chelsea,0,0,Oui,Oui,,,,,Oui,,,,,,,,,
1412137,Marc Guiu,Spain,20,Premier League,Chelsea,0,1,,,,,,,Oui,,,,,,,,,
1580774,Estevao,Brazil,18,Premier League,Chelsea,1,1,Oui,Oui,,,,,Oui,,,,Oui,,,Oui,Oui,
1346113,Shumaira Mheuka,England,18,Premier League 2,Chelsea U21,10,0,,Oui,,,,,Oui,,,,,,,,,
538501,Guglielmo Vicario,Italy,29,Premier League,Tottenham Hotspur,0,0,,,,,,,,,Oui,,,,,,,
1341475,Antonin Kinsky,Czechia,22,Premier League,Tottenham Hotspur,0,0,,,,,,,,,Oui,,,,,,,
862993,Brandon Austin,England,27,Premier League,Tottenham Hotspur,0,0,,,,,,,,,Oui,,,,,,,
1203661,Radu Dragusin,Romania,23,Premier League,Tottenham Hotspur,0,0,,,,,,,,Oui,,,,,,,,
754126,Kevin Danso,Austria,27,Premier League,Tottenham Hotspur,0,0,,,,,,,,Oui,,,,,,,,
1052898,Destiny Udogie,Italy,23,Premier League,Tottenham Hotspur,0,1,,,,Oui,,,,,,,,,Oui,,,Oui
1323305,Archie Gray,England,19,Premier League,Tottenham Hotspur,1,0,,,Oui,Oui,,,,Oui,,Oui,,Oui,,,,
789066,Cristian Romero,Argentina,27,Premier League,Tottenham Hotspur,3,1,,,,,,,,Oui,,,,,,,,
941573,Pedro Porro,Spain,26,Premier League,Tottenham Hotspur,0,2,,,Oui,,,,,,,,,,,,Oui,
894803,Djed Spence,England,25,Premier League,Tottenham Hotspur,0,0,,Oui,Oui,Oui,,,,,,,,,,,Oui,Oui
276121,Ben Davies,Wales,32,Premier League,Tottenham Hotspur,1,0,,,,Oui,,,,Oui,,,,,,,,Oui
1097466,Micky van de Ven,Netherlands,24,Premier League,Tottenham Hotspur,3,1,,,Oui,Oui,,,,Oui,,,,,,,,
1308600,Kota Takai,Japan,21,Bundesliga,Borussia Mönchengladbach,0,0,,,,,,,,Oui,,,,,,,Oui,
524434,Joao Palhinha,Portugal,30,Premier League,Tottenham Hotspur,3,2,,,,,,,,Oui,,Oui,,Oui,,,,
1173787,Xavi Simons,Netherlands,22,Premier League,Tottenham Hotspur,1,3,Oui,Oui,,,,,Oui,,,Oui,,,Oui,Oui,,
724306,Yves Bissouma,Mali,29,Premier League,Tottenham Hotspur,0,0,Oui,,,,,,,,,Oui,,Oui,,Oui,,
493165,James Maddison,England,29,Premier League,Tottenham Hotspur,9,7,,,,,,,,,,Oui,,,,Oui,,
1386775,Lucas Bergvall,Sweden,19,Premier League,Tottenham Hotspur,1,2,,Oui,,,,,,,,Oui,,Oui,Oui,Oui,,
935379,Dejan Kulusevski,Sweden,25,Premier League,Tottenham Hotspur,7,4,Oui,,,,,,Oui,,,Oui,,,,Oui,,
1107280,Pape Sarr,Senegal,23,Premier League,Tottenham Hotspur,2,2,,Oui,,,,,,,,Oui,Oui,Oui,,Oui,,
620618,Rodrigo Bentancur,Uruguay,28,Premier League,Tottenham Hotspur,1,1,,,,,,,,,,Oui,,Oui,,,,
654908,Richarlison,Brazil,28,Premier League,Tottenham Hotspur,7,3,,Oui,,,,,Oui,,,,,,,,,
1288111,Mathys Tel,France,20,Premier League,Tottenham Hotspur,3,0,Oui,Oui,,,,,Oui,,,,,,,,,
591734,Dominic Solanke,England,28,Premier League,Tottenham Hotspur,0,0,,,,,,,Oui,,,,,,,,,
891743,Mohammed Kudus,Ghana,25,Premier League,Tottenham Hotspur,2,5,Oui,Oui,,,,,Oui,,,Oui,Oui,,,Oui,,
1076756,Brennan Johnson,Wales,24,Premier League,Crystal Palace,2,0,Oui,Oui,,,,,Oui,,,,Oui,,,Oui,,
1341387,Wilson Odobert,France,21,Premier League,Tottenham Hotspur,0,1,Oui,Oui,,,,,,,,,,,,Oui,,
823825,Randal Kolo Muani,France,27,Premier League,Tottenham Hotspur,0,0,Oui,Oui,,,,,Oui,,,,,,,Oui,,
1113753,Dane Scarlett,England,21,Premier League,Tottenham Hotspur,0,0,,,,,,,Oui,,,,,,,,,
280484,Nick Pope,England,33,Premier League,Newcastle United,0,0,,,,,,,,,Oui,,,,,,,
1468789,Max Thompson,England,21,Premier League 2,Newcastle United U21,0,0,,,,,,,,,Oui,,,,,,,
746395,Aaron Ramsdale,England,27,Premier League,Newcastle United,0,0,,,,,,,,,Oui,,,,,,,
191869,Kieran Trippier,England,35,Premier League,Newcastle United,0,0,,,Oui,Oui,,,,,,,,,,,Oui,
1197655,Lewis Hall,England,21,Premier League,Newcastle United,0,1,,,,Oui,,,,Oui,,,,,,,,Oui
956682,Sven Botman,Netherlands,26,Premier League,Newcastle United,0,1,,,,,,,,Oui,,,,,,,,
189982,Fabian Schär,Switzerland,34,Premier League,Newcastle United,0,0,,,,,,,,Oui,,,,,,,,
279489,Jamaal Lascelles,England,32,Premier League,Newcastle United,0,0,,,,,,,,Oui,,,,,,,,
1137407,Malick Thiaw,Germany,24,Premier League,Newcastle United,3,0,,,,,,,,Oui,,,,,,,,
259306,Emil Krafth,Sweden,31,Premier League,Newcastle United,0,0,,,Oui,,,,,Oui,,,Oui,,,,,
1107910,Valentino Livramento,England,23,Premier League,Newcastle United,0,1,,,Oui,Oui,,,,,,,Oui,,,,,Oui
1111611,Harrison Ashby,Scotland,24,League One,Bradford City,0,0,Oui,,Oui,Oui,,,,,,Oui,,,,,Oui,
188058,Daniel Burn,England,33,Premier League,Newcastle United,0,2,,,,Oui,,,,Oui,,,,,,,,
1362341,Alex Murphy,Republic of Ireland,21,Premier League 2,Newcastle United U21,0,1,,,,Oui,,,,Oui,,,,,,,,Oui
535936,Joelinton,Brazil,29,Premier League,Newcastle United,2,0,,,,,,,,,,Oui,,Oui,,Oui,,
867414,Sandro Tonali,Italy,25,Premier League,Newcastle United,0,1,,,,,,,,,,Oui,,Oui,,Oui,,
860975,Joseph Willock,England,26,Premier League,Newcastle United,0,0,Oui,Oui,,,,,,,,Oui,,,,Oui,,
850354,Bruno Guimaraes,Brazil,28,Premier League,Newcastle United,8,3,,,,,,,,,,Oui,,Oui,,Oui,,
1418100,Alfie Harrison,England,20,Premier League 2,Newcastle United U21,0,5,Oui,Oui,,,,,,,,Oui,,Oui,,Oui,,
1296763,Lewis Miley,England,19,Premier League,Newcastle United,1,3,,,Oui,,,,,,,Oui,,Oui,,,,
666857,Yoane Wissa,DR Congo,29,Premier League,Newcastle United,1,0,,Oui,,,,,Oui,,,Oui,,,,,,
906937,Anthony Gordon,England,24,Premier League,Newcastle United,2,1,,Oui,,,,,Oui,,,,,,Oui,Oui,,
760359,Harvey Barnes,England,28,Premier League,Newcastle United,5,0,Oui,Oui,,,,,,,,,,,,Oui,,
1258092,William Osula,Denmark,22,Premier League,Newcastle United,1,0,Oui,,,,,,Oui,,,,,,,,,
1050166,Anthony Elanga,Sweden,23,Premier League,Newcastle United,0,1,Oui,Oui,,,,,Oui,,,,,,Oui,,,
521148,Jacob Murphy,England,30,Premier League,Newcastle United,2,1,Oui,,,,,,Oui,,,,Oui,,,Oui,Oui,
1106563,Nick Woltemade,Germany,23,Premier League,Newcastle United,7,2,Oui,Oui,,,,,Oui,,,,,,,Oui,,
1021929,Jacob Ramsey,England,24,Premier League,Newcastle United,0,0,,Oui,,,,,,,,Oui,,Oui,,Oui,,
866967,Altay Bayindir,Turkiye,27,Premier League,Manchester United,0,0,,,,,,,,,Oui,,,,,,,
1178602,Senne Lammens,Belgium,23,Premier League,Manchester United,0,0,,,,,,,,,Oui,,,,,,,
775539,Noussair Mazraoui,Morocco,28,Premier League,Manchester United,0,0,,,Oui,Oui,,,,Oui,,,Oui,,,,Oui,Oui
769895,Matthijs de Ligt,Netherlands,26,Premier League,Manchester United,1,0,,,,,,,,Oui,,,,,,,,
255610,Harry Maguire,England,32,Premier League,Manchester United,1,1,,,,,,,,Oui,,,,,,,,
847983,Lisandro Martinez,Argentina,28,Premier League,Manchester United,0,0,,,,,,,,Oui,,,,,,,,
865118,Tyrell Malacia,Netherlands,26,Premier League,Manchester United,0,0,,,,Oui,,,,,,,,,,,,Oui
1358581,Leny Yoro,France,20,Premier League,Manchester United,0,0,,,,,,,,Oui,,,,,,,,
