ID,Championnat,Lien,Valeur,Pays,Continent
1,Premier League,https://www.transfermarkt.fr/premier-league/startseite/wettbewerb/GB1,12770000000,4,1
2,LaLiga,https://www.transfermarkt.fr/laliga/startseite/wettbewerb/ES1,5570000000,15,1
3,Serie A,https://www.transfermarkt.fr/serie-a/startseite/wettbewerb/IT1,5430000000,27,1
4,Bundesliga,https://www.transfermarkt.fr/bundesliga/startseite/wettbewerb/L1,4660000000,2,1
5,Ligue 1,https://www.transfermarkt.fr/ligue-1/startseite/wettbewerb/FR1,3640000000,18,1
7,Championship,https://www.transfermarkt.fr/championship/startseite/wettbewerb/GB2,1930000000,15,1
6,Série A,https://www.transfermarkt.fr/campeonato-brasileiro-serie-a/startseite/wettbewerb/BRA1,1820000000,88,3
8,Liga Portugal,https://www.transfermarkt.fr/liga-portugal/startseite/wettbewerb/PO1,1770000000,4,1
11,MLS,https://www.transfermarkt.fr/major-league-soccer/startseite/wettbewerb/MLS1,1360000000,95,3
10,Süper Lig,https://www.transfermarkt.fr/super-lig/startseite/wettbewerb/TR1,1330000000,40,1
9,Eredivisie,https://www.transfermarkt.fr/eredivisie/startseite/wettbewerb/NL1,1210000000,50,1
12,Saudi Pro League,https://www.transfermarkt.fr/saudi-pro-league/startseite/wettbewerb/SA1,1140000000,53,2
13,Premier Liga,https://www.transfermarkt.fr/premier-liga/startseite/wettbewerb/RU1,1050000000,37,1
14,Torneo Apertura,https://www.transfermarkt.fr/torneo-apertura/startseite/wettbewerb/ARG1,989700000,86,3
15,Torneo Clausura,https://www.transfermarkt.fr/torneo-clausura/startseite/wettbewerb/ARGC,989700000,86,3
16,Jupiler Pro League,https://www.transfermarkt.fr/jupiler-pro-league/startseite/wettbewerb/BE1,949630000,43,1
17,Liga MX Clausura,https://www.transfermarkt.fr/liga-mx-clausura/startseite/wettbewerb/MEX1,902980000,99,3
18,Liga MX Apertura,https://www.transfermarkt.fr/liga-mx-apertura/startseite/wettbewerb/MEXA,902980000,99,3
19,Super League 1,https://www.transfermarkt.fr/super-league-1/startseite/wettbewerb/GR1,523850000,7,1
20,Serie B,https://www.transfermarkt.fr/serie-b/startseite/wettbewerb/IT2,504150000,4,1
21,2. Bundesliga,https://www.transfermarkt.fr/2-bundesliga/startseite/wettbewerb/L2,498200000,15,1
22,LaLiga2,https://www.transfermarkt.fr/laliga2/startseite/wettbewerb/ES2,491100000,40,1
23,Stars League,https://www.transfermarkt.fr/qatar-stars-league/startseite/wettbewerb/QSL,405480000,54,2
24,Super League,https://www.transfermarkt.fr/super-league/startseite/wettbewerb/C1,394280000,21,1
25,Premier Liga,https://www.transfermarkt.fr/premier-liga/startseite/wettbewerb/UKR1,391400000,27,1
26,UAE Pro League,https://www.transfermarkt.fr/uae-pro-league/startseite/wettbewerb/UAE1,382280000,55,2
27,Chance Liga,https://www.transfermarkt.fr/chance-liga/startseite/wettbewerb/TS1,376740000,2,1
28,Bundesliga,https://www.transfermarkt.fr/bundesliga/startseite/wettbewerb/A1,375010000,15,1
29,Ekstraklasa,https://www.transfermarkt.fr/pko-bp-ekstraklasa/startseite/wettbewerb/PL1,367130000,48,1
30,Premiership,https://www.transfermarkt.fr/scottish-premiership/startseite/wettbewerb/SC1,353320000,51,1
31,Superliga,https://www.transfermarkt.fr/superliga/startseite/wettbewerb/DK1,340000000,41,1
32,Ligue 2,https://www.transfermarkt.fr/ligue-2/startseite/wettbewerb/FR2,323930000,28,1
33,Eliteserien,https://www.transfermarkt.fr/eliteserien/startseite/wettbewerb/NO1,304430000,5,1
34,J1 League,https://www.transfermarkt.fr/j1-league/startseite/wettbewerb/JAP1,302380000,56,2
35,League One,https://www.transfermarkt.fr/league-one/startseite/wettbewerb/GB3,290780000,15,1
36,Super liga Srbije,https://www.transfermarkt.fr/super-liga-srbije/startseite/wettbewerb/SER1,264180000,39,1
37,Allsvenskan,https://www.transfermarkt.fr/allsvenskan/startseite/wettbewerb/SE1,259149999,14,1
38,SuperLiga,https://www.transfermarkt.fr/superliga/startseite/wettbewerb/RO1,256709999,13,1
39,Série B,https://www.transfermarkt.fr/campeonato-brasileiro-serie-b/startseite/wettbewerb/BRA2,231630000,88,3
40,SuperSport HNL,https://www.transfermarkt.fr/supersport-hnl/startseite/wettbewerb/KR1,221770000,18,1
41,Liga DIMAYOR II,https://www.transfermarkt.fr/liga-dimayor-finalizacion/startseite/wettbewerb/COL1,200100000,91,3
42,Liga DIMAYOR I,https://www.transfermarkt.fr/liga-dimayor-apertura/startseite/wettbewerb/COLP,200100000,91,3
43,efbet Liga,https://www.transfermarkt.fr/efbet-liga/startseite/wettbewerb/BU1,192750000,36,1
44,Liga Primera,https://www.transfermarkt.fr/liga-de-primera/startseite/wettbewerb/CLPD,176620000,90,3
45,Liga AUF Apertura,https://www.transfermarkt.fr/liga-auf-apertura/startseite/wettbewerb/URU1,167940000,105,3
46,Liga AUF Clausura,https://www.transfermarkt.fr/liga-auf-clausura/startseite/wettbewerb/URUC,167940000,105,3
47,Liga AUF Intermedio,https://www.transfermarkt.fr/liga-auf-intermedio/startseite/wettbewerb/URUI,167940000,105,3
48,LigaPro Serie A,https://www.transfermarkt.fr/ligapro-serie-a/startseite/wettbewerb/EC1N,163840000,93,3
49,Premier League,https://www.transfermarkt.fr/egyptian-premier-league/startseite/wettbewerb/EGY1,154730000,112,4
50,Egyptian League Cup,https://www.transfermarkt.fr/egyptian-league-cup/startseite/wettbewerb/EGLC,154730000,112,4
51,1.Lig,https://www.transfermarkt.fr/1-lig/startseite/wettbewerb/TR2,151600000,36,1
52,Ligat ha'Al,https://www.transfermarkt.fr/ligat-haal/startseite/wettbewerb/ISR1,150310000,4,1
53,Liga Portugal 2,https://www.transfermarkt.fr/liga-portugal-2/startseite/wettbewerb/PO2,148040000,21,1
54,NB I.,https://www.transfermarkt.fr/nemzeti-bajnoksag/startseite/wettbewerb/UNG1,147130000,44,1
55,Betway Premiership,https://www.transfermarkt.fr/betway-premiership/startseite/wettbewerb/SFA1,145900000,110,4
56,Carling Knockout,https://www.transfermarkt.fr/carling-knockout/startseite/wettbewerb/TELK,145900000,120,4
57,Cyprus League,https://www.transfermarkt.fr/cyprus-league/startseite/wettbewerb/ZYP1,145150000,49,1
58,3. Liga,https://www.transfermarkt.fr/3-liga/startseite/wettbewerb/L3,142890000,51,1
59,Keuken Kampioen Divisie,https://www.transfermarkt.fr/keuken-kampioen-divisie/startseite/wettbewerb/NL2,141300000,49,1
60,J2 League,https://www.transfermarkt.fr/j2-league/startseite/wettbewerb/JAP2,139900000,56,2
61,Super League,https://www.transfermarkt.fr/chinese-super-league/startseite/wettbewerb/CSL,139060000,57,2
62,1.Division,https://www.transfermarkt.fr/1-division/startseite/wettbewerb/RU2,138640000,36,1
63,Liga 1 Apertura,https://www.transfermarkt.fr/liga-1-apertura/startseite/wettbewerb/TDeA,136660000,104,3
64,Liga 1 Clausura,https://www.transfermarkt.fr/liga-1-clausura/startseite/wettbewerb/TDeC,135680000,104,3
65,Challenger Pro League,https://www.transfermarkt.fr/challenger-pro-league/startseite/wettbewerb/BE2,135450000,11,1
