Id,Club,Lien,Championnat
1,Arsenal FC,https://www.transfermarkt.fr/fc-arsenal/startseite/verein/11/saison_id/2025,1
2,Manchester City,https://www.transfermarkt.fr/manchester-city/startseite/verein/281/saison_id/2025,1
3,FC Liverpool,https://www.transfermarkt.fr/fc-liverpool/startseite/verein/31/saison_id/2025,1
4,Chelsea FC,https://www.transfermarkt.fr/fc-chelsea/startseite/verein/631/saison_id/2025,1
5,Tottenham Hotspur,https://www.transfermarkt.fr/tottenham-hotspur/startseite/verein/148/saison_id/2025,1
6,Newcastle United,https://www.transfermarkt.fr/newcastle-united/startseite/verein/762/saison_id/2025,1
7,Manchester United,https://www.transfermarkt.fr/manchester-united/startseite/verein/985/saison_id/2025,1
8,Nottingham Forest,https://www.transfermarkt.fr/nottingham-forest/startseite/verein/703/saison_id/2025,1
9,Aston Villa,https://www.transfermarkt.fr/aston-villa/startseite/verein/405/saison_id/2025,1
10,Brighton & Hove Albion,https://www.transfermarkt.fr/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2025,1
11,Crystal Palace,https://www.transfermarkt.fr/crystal-palace/startseite/verein/873/saison_id/2025,1
12,AFC Bournemouth,https://www.transfermarkt.fr/afc-bournemouth/startseite/verein/989/saison_id/2025,1
13,FC Brentford,https://www.transfermarkt.fr/fc-brentford/startseite/verein/1148/saison_id/2025,1
14,FC Everton,https://www.transfermarkt.fr/fc-everton/startseite/verein/29/saison_id/2025,1
15,West Ham United,https://www.transfermarkt.fr/west-ham-united/startseite/verein/379/saison_id/2025,1
16,Wolverhampton Wanderers,https://www.transfermarkt.fr/wolverhampton-wanderers/startseite/verein/543/saison_id/2025,1
17,FC Fulham,https://www.transfermarkt.fr/fc-fulham/startseite/verein/931/saison_id/2025,1
18,AFC Sunderland,https://www.transfermarkt.fr/afc-sunderland/startseite/verein/289/saison_id/2025,1
19,Leeds United,https://www.transfermarkt.fr/leeds-united/startseite/verein/399/saison_id/2025,1
20,Burnley FC,https://www.transfermarkt.fr/fc-burnley/startseite/verein/1132/saison_id/2025,1
21,Real Madrid,https://www.transfermarkt.fr/real-madrid/startseite/verein/418/saison_id/2025,2
22,FC Barcelone,https://www.transfermarkt.fr/fc-barcelona/startseite/verein/131/saison_id/2025,2
23,Atlético de Madrid,https://www.transfermarkt.fr/atletico-madrid/startseite/verein/13/saison_id/2025,2
24,Athletic Bilbao,https://www.transfermarkt.fr/athletic-bilbao/startseite/verein/621/saison_id/2025,2
25,Villarreal CF,https://www.transfermarkt.fr/fc-villarreal/startseite/verein/1050/saison_id/2025,2
26,Real Sociedad,https://www.transfermarkt.fr/real-sociedad-san-sebastian/startseite/verein/681/saison_id/2025,2
27,Real Betis Balompié,https://www.transfermarkt.fr/real-betis-sevilla/startseite/verein/150/saison_id/2025,2
28,FC Valencia,https://www.transfermarkt.fr/fc-valencia/startseite/verein/1049/saison_id/2025,2
29,Girona FC,https://www.transfermarkt.fr/fc-girona/startseite/verein/12321/saison_id/2025,2
30,Celta Vigo,https://www.transfermarkt.fr/celta-vigo/startseite/verein/940/saison_id/2025,2
31,Séville FC,https://www.transfermarkt.fr/fc-sevilla/startseite/verein/368/saison_id/2025,2
32,Espanyol Barcelona,https://www.transfermarkt.fr/espanyol-barcelona/startseite/verein/714/saison_id/2025,2
33,CA Osasuna,https://www.transfermarkt.fr/ca-osasuna/startseite/verein/331/saison_id/2025,2
34,Rayo Vallecano,https://www.transfermarkt.fr/rayo-vallecano/startseite/verein/367/saison_id/2025,2
